"Reference","Qty","Value","Footprint","MPN"
"J1,J2","2","Conn_01x02","Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical","XT60-F"
"L1","1","10u","Inductor_SMD:L_Coilcraft_XAL6060-XXX","XAL6060-103MEC"
"R12","1","10m","Resistor_SMD:R_Shunt_Vishay_WSKW0612","WSKW0612R0100FEA"
"R5","1","9.09k","Resistor_SMD:R_0805_2012Metric","RC0805FR-079K09L"
"R4","1","5.36k","Resistor_SMD:R_0805_2012Metric","RC0805FR-075K36L"
"R2","1","54.9k","Resistor_SMD:R_0805_2012Metric","RC0805FR-0754K9L"
"R9","1","23.2","Resistor_SMD:R_0805_2012Metric","RC0805FR-0723K2L"
"R3","1","1.74k","Resistor_SMD:R_0805_2012Metric","RC0805FR-071K74L"
"R8","1","12.1k","Resistor_SMD:R_0805_2012Metric","RC0805FR-0712K1L"
"R7","1","187k","Resistor_SMD:R_0805_2012Metric","RC0805FR-07187KL"
"R11","1","33k","Resistor_SMD:R_0805_2012Metric","RC0805FR-0733KL"
"R10","1","18K","Resistor_SMD:R_0805_2012Metric","RC0805FR-0718KL"
"R1","1","1M","Resistor_SMD:R_0805_2012Metric","RC0805FR-071ML"
"D1","1","60V.6A","Diode_SMD:Nexperia_CFP3_SOD-123W","PMEG6030EP,115"
"U1","1","LM5116MHX_NOPB","Package_SO:HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.85x4mm","LM5116MHX/NOPB"
"U2","1","INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","INA219AIDR  "
"R6","1","15m","Resistor_SMD:R_0805_2012Metric","ERJ-6BWFR015V"
"C9","1","27u","Capacitor_SMD:CP_Elec_4x3","EEE-FN1E270UR"
"Q1,Q2","2","CSD19534Q5A","Package_TO_SOT_SMD:TDSON-8-1","CSD19534Q5A"
"C3","1","2.2uF","Capacitor_SMD:C_0805_2012Metric","CL21B225KBYNNWE"
"C8","1","1u","Capacitor_SMD:C_0805_2012Metric","CL21B105KBFNNNE"
"C5","1","3.3n","Capacitor_SMD:C_0805_2012Metric","C0805C332J4GACTU"
"C6","1","375p","Capacitor_SMD:C_0805_2012Metric","C0805C361JCGACTU"
"C1","1","360p","Capacitor_SMD:C_0805_2012Metric","C0805C361JCGACTU"
"J3,J4,J5,J6","4","Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","B2B-XH-A(LF)(SN)"
"C2","1","24n","Capacitor_SMD:C_0805_2012Metric","0805B223K500CT"
"C7","1","100n","Capacitor_SMD:C_0805_2012Metric","08053C104KAT2A"
"C4","1","100nF","Capacitor_SMD:C_0805_2012Metric","08053C104KAT2A"
"F1","1","55V,6A","Fuse:Fuse_1206_3216Metric","0685T7000-01"
